Sequnce;Time;Style
1;2.33:19;FS
2;2.33:00;FS
3;2.44:12;FS
4;3.52:15;BS
5;2.33:20;FS
6;2.35:19;FS
7;2.30:87;FS
8;3.58:77;BS
9;2.36:09;FS
10;2.28:23;FS
11;2.32:30;FS
12;2.32:75;FS
